"File","Title","Composer","Language","Season","Tag","Arranger","Tag_2"
"adeste-fideles.pdf","Adeste fideles","Anonymous","la","Christmas","sacred",,
"anima-christi.pdf","Anima Christi","Marco Frisina","la",,"sacred",,
"ave-maris-stella.pdf","Ave maris stella","Anonymous","la",,"sacred",,
"the-first-noël.pdf","First Noël, The","Anonymous","en","Christmas",,"John Stainer",
"let-all-mortal-flesh-keep-silence.bairstow.pdf","Let all mortal flesh keep silence (Bairstow)","Edward Cuthbert Bairstow","en","Advent","sacred",,"satb"
"let-all-mortal-flesh-keep-silence.picardy.pdf","Let all mortal flesh keep silence (Picardy)","Anonymous","en","Advent","sacred",,"satb"
"lo-how-a-rose-eer-blooming.pdf","Lo, how a rose e’er blooming","Michael Praetorius","en","Advent","sacred",,"satb"
"sicut-cervus.pdf","Sicut cervus","Giovanni PierLuigi da Palestrina","la",,"sacred",,"satb"
"silent-night-holy-night.pdf","Silent night, holy night","Franz Xaver Gruber","en","Christmas","sacred",,"satb"
"veni-veni-emmanuel.pdf","Veni, veni Emmanuel","Anonymous","la","Advent","sacred",,
